NUEVO_ID,ATSEG,Predicted,Prob_SEG_A,Prob_SEG_B,Prob_SEG_C,Max_Prob,ORAL_TRX_mean,UC_TRX_mean,TOTAL_TRX_mean,N_CLMOTHERS_mean,IL23_TRX_mean
2894,SEG_A,SEG_C,0.35139352083206177,0.14780540764331818,0.5008010864257812,0.5008010864257812,0.0153162790697674,1.592358043744346,1.2139388714228734,1.9534883720930232,0.0060930232558139
8501,SEG_C,SEG_B,0.16901537775993347,0.500789999961853,0.3301946520805359,0.500789999961853,0.1216571084867724,1.1264612491795718,0.7466020829679263,0.7906976744186046,0.0482
7492,SEG_B,SEG_C,0.18576253950595856,0.3134990334510803,0.5007384419441223,0.5007384419441223,0.0153674418604651,0.3334752452415163,0.3257250873920141,1.0232558139534884,0.0432418604651162
5297,SEG_A,SEG_C,0.16171401739120483,0.33755365014076233,0.5007323622703552,0.5007323622703552,0.0603931989125957,0.987706880953648,0.5676263533266047,0.9418604651162792,0.1032953488372093
1841,SEG_B,SEG_A,0.5007002949714661,0.4067189693450928,0.09258071333169937,0.5007002949714661,0.0616651162790697,0.2644883188760576,0.0484762449800688,0.0465116279069767,0.0
10570,SEG_B,SEG_A,0.5006640553474426,0.13657592236995697,0.3627600073814392,0.5006640553474426,0.0,0.1484842034307203,-0.122499324895142,0.6511627906976745,0.0
14301,SEG_C,SEG_A,0.5005531907081604,0.306311696767807,0.193135067820549,0.5005531907081604,0.0393198991844468,0.3874461178223618,0.0528901651772937,0.3488372093023256,0.0024372093023255
13683,SEG_C,SEG_A,0.5004879236221313,0.30355191230773926,0.1959601193666458,0.5004879236221313,0.0471581395348837,0.4128660883756408,0.0240424040174312,0.3837209302325581,0.0097488372093023
7386,SEG_C,SEG_B,0.1449870467185974,0.5004490613937378,0.3545639216899872,0.5004490613937378,0.0801744186046511,1.1219200681177162,0.7017888420651024,1.3953488372093024,0.0179651162790697
2562,SEG_A,SEG_B,0.402448832988739,0.5004435777664185,0.09710758924484253,0.5004435777664185,0.0896756253095442,1.0158143082681428,0.6450923560353539,0.9302325581395348,0.0
10274,SEG_C,SEG_A,0.5002998113632202,0.320224791765213,0.17947541177272797,0.5002998113632202,0.0649,1.055256949248754,0.8444936218074973,0.6162790697674418,0.0
5312,SEG_A,SEG_C,0.3240460455417633,0.17566213011741638,0.5002918839454651,0.5002918839454651,0.0,0.1130417043620172,-0.126628613049715,0.1162790697674418,0.0
